Date,Description
2019-03-12,"Removal of 115.178.178.128/27,115.178.178.0/27,115.178.178.192/26 and 115.178.178.185/32."
2019-01-09,"Please replace 115.178.178.134/27 with 115.178.178.128/27 and 115.178.178.2/27 with 115.178.178.0/27. New IP address
range 203.81.182.248/29 added."
2018-12-19,"203.116.17.96/28, 203.116.17.112/28, 115.178.178.134/27, 115.178.178.2/27, 115.178.178.192/26 and 115.178.178.185/32
added."
2018-11-12,103.231.48.128/26 replaced by 103.231.48.128/25 and 103.231.49.128/26 replaced by 103.231.49.128/25.
2017-12-18,"Previously published IP range 115.178.160.40/27 and 115.178.164.40/27 are invalid. Please implement 115.178.160.32/27
and 115.178.164.32/27 instead."
2017-12-13,"IP ranges 115.178.160.0/27, 115.178.160.40/27 and 115.178.164.40/27 added. Old IP ranges 115.178.160.0/19,
115.178.192.0/19 and 115.178.224.0/19 removed. IPX carriers updated."
2017-10-24,"Old IP range 27.146.1.0/27, 27.146.1.32/27, 42.153.1.0/24, 183.78.8.0/24 removed. New IP 213.137.159.0/24 added. Old
ASN 45960, 64569 removed. New ASN 6774 added."
2017-10-24,Applicable to SGPMM.
2017-09-01,New IP address range 115.112.166.16/32 added. ASN 64562 added. GRX Provider BBIX Info updated.
2016-10-06,"DNS IP address 203.116.22.51 and 203.116.22.52 are removed. IP range 193.240.51.81/32, 193.240.51.82/32,
4.15.38.105/32, 4.15.38.106/32 and 103.4.245.32/30 are removed."
2016-10-06,"New ASN 24545 added. New IP ranges 192.234.88.48/28, 185.81.136.160/28, 193.240.51.80/29, 4.15.38.104/29,
192.234.88.112/28, 103.4.245.32/29 are added."
