Date,Description
2017-08-02,Added and deleted MSISDN ranges
2017-08-02,Added and deleted MSRN ranges
2017-06-21,ADDED AND DELETED MSISDN RANGES
2017-06-21,ADDED MSRN RANGE 52331851
2017-04-26,ADDED AND DELETED MSISDN NUMBER RANGES
2017-03-17,ADDED AND DELETED MSISDN AND MSRN RANGES
2017-02-13,ADDED AND DELETED MSISDN NUMBER RANGES
2017-02-13,ADDED AND DELETED MSRN NUMBER RANGES
2017-01-11,ADDED AND DELETED MSISDN NUMBER RANGES
2017-01-11,ADDED AND DELETED MSRN RANGE
2016-11-23,ADDED AND DELETED MSISDN RANGES
2016-11-23,ADDED AND DELETED MSRN RANGES
2016-08-02,ADDED AND DELETED MSRN RANGES
2016-08-02,ADDED AND DELETED MSISDN NUMBER RANGES
2016-07-01,ADDED AND DELETED MSRN RANGES
2016-07-01,ADDED AND DELETED MSISDN NUMBER RANGES
2016-05-13,ADDED AND DELETED MSISDN NUMBER RANGES
2016-03-15,ADDED AND DELETED MSISDN NUMBER RANGES
2016-03-15,ADDED AND DELETED MSRN NUMBER RANGES
2016-02-17,MSISDN RANGE CORRECTED 52811794
2016-02-10,ADDED AND DELETED MSRN AND MSISDN RANGES
2015-11-23,ADDED AND DELETED MSISDN RANGES
2015-11-23,ADDED AND DELETED MSRN RANGES
2015-07-15,ADDED AND DELETED MSRN AND MSISDN RANGES
2015-04-17,ADDED AND DELETED MSISDN RANGES
2015-04-17,ADDED AND DELETED MSRN RANGES
2014-11-25,ADDED AND DELETED MSRN RANGES
2014-11-25,ADDED AND DELETED MSISDN RANGES
2014-04-08,ADDED AND DELETED MSISDN RANGES
2014-03-12,NEW MSRN RANGE ADDED
2014-02-27,NEW MSRN AND MSISDN RANGES
2014-02-05,"ADDED MSRN RANGES, ADDED AND DELETED MSISDN RANGES"
2014-01-08,ADDED AND DELETED MSISDN AND MSRN RANGES
2013-12-27,ADDED AND DELETED MSISDN RANGES
2013-11-26,ADDED AND DELETED MSRN AND MSISDN RANGES
2013-10-16,ADDED AND CHANGED MSRN RANGES
2013-10-16,"ADDED, CHANGED AND DELETED MSISDN RANGES"
2013-09-25,NEW MSRN RANGE 443355
2013-09-11,ADDED NEW MSRN RANGE 4521823
2013-09-11,ADDITIONAL INFORMATION ABOUT MSISDN RANGES
2013-08-20,ADDED NEW MSRN RANGE 331848
2013-08-19,ADDED AND DELETED MSRN RANGES
2013-07-10,NEW MSRN RANGE ADDED
2013-06-18,CORRECTION RANGES
2013-05-30,DELETED AND ADDED MSISDN NUMBER RANGES
2013-05-18,New MSRN ranges
2013-05-17,DELETED AND ADDED MSRN NUMBER RANGES
