TADIG Code,Section ID,Section Name
MEXTL,6,Domestic SCCP Gateway
MEXTL,9,Test Numbers Information
MEXTL,12,MAP Inter Operator SMS Enhancement
MEXTL,14,USSD Information
MEXTL,18,MMS Interworking Information
MEXTL,19,WLAN Information
MEXTL,22,Hosted Networks
MEXTL,23,M2M Roaming Information
MEXTL,24,MVNO Information
MEXTL,26,VoLTE Roaming Information Section
MEXTL,27,LPWA Roaming Information Section
