E. 164 Number Ranges due to Number Portability,CC,NDC,SN Range Start,SN Range Stop
,852,98,0,
,852,404,0,
,852,406,0,
,852,409,3,
,852,420,0,
,852,481,0,
,852,482,1,
,852,486,0,
,852,489,0,
,852,492,3,
,852,495,2,
,852,498,0,
,852,710,4,
,852,710,9,
,852,711,4,
,852,711,8,
,852,712,0,
,852,713,2,
,852,713,4,
,852,716,0,
,852,719,2,
,852,719,4,
,852,719,7,
,852,721,0,
,852,721,2,
,852,721,9,
,852,727,0,
,852,727,3,
,852,737,4,
,852,737,7,
,852,739,0,
,852,739,4,
,852,739,6,
,852,815,0,
,852,818,0,
,852,827,5,
,852,831,0,
,852,832,5,
,852,837,1,
,852,850,0,
