TADIG Code,Section ID,Section,Date,Description
HKGTC,4,Routing Information,2023-08-09,Add new MSISDN Ranges 8524679; 8528482
HKGTC,4,Routing Information,2023-08-09,Add info to fulfill new RAEX schema
HKGTC,4,Routing Information,2023-08-09,Additional info being simplified to fulfill new RAEX schema
HKGTC,16,Packet Data Service Information,2023-08-09,Add info to fulfill new RAEX schema
HKGTC,17,GRX/IPX routing for data roaming,2023-08-09,"Add GRX Provider ""BBIX"""
HKGTC,20,LTE Roaming Information,2023-08-09,"Add IPX Provider Name ""BBIX"""
HKGTC,26,VoLTE Roaming Information Section,2023-08-09,Add info to fulfill new RAEX schema
HKGM3,4,Routing Information,2023-08-09,Add info to fulfill new RAEX schema
HKGM3,4,Routing Information,2023-08-09,Additional info being simplified to fulfill new RAEX schema
HKGM3,16,Packet Data Service Information,2023-08-09,Add info to fulfill new RAEX schema
HKGM3,17,GRX/IPX routing for data roaming,2023-08-09,"Add GRX Provider ""BBIX"""
HKGM3,20,LTE Roaming Information,2023-08-09,"Add IPX Provider Name ""BBIX"""
HKGM3,26,VoLTE Roaming Information Section,2023-08-09,Add info to fulfill new RAEX schema
HKGTC,13,Network Elements Information,2023-02-28,new PGW IP 74.118.67.0/27
HKGTC,13,Network Elements Information,2023-02-28,"new PGW IP 131.166.130.0/24, 131.166.132.0/24,
131.166.134.0/24, 131.166.136.0/24, 213.144.191.56/29,
213.144.191.224/29, 213.144.191.216/30, 213.144.191.220/30"
HKGTC,17,GRX/IPX routing for data roaming,2023-02-28,new PGW IP 74.118.67.0/27
HKGM3,13,Network Elements Information,2023-02-28,"new PGW IP 74.118.67.0/27, 74.118.67.32/27, 131.166.130.0/24,
131.166.132.0/24, 131.166.134.0/24, 131.166.136.0/24,
213.144.191.56/29, 213.144.191.224/29, 213.144.191.216/30,
213.144.191.220/30"
HKGM3,17,GRX/IPX routing for data roaming,2023-02-28,new PGW IP 74.118.67.0/27
HKGM3,17,GRX/IPX routing for data roaming,2023-02-28,new PGW IP 74.118.67.32/27
HKGTC,17,GRX/IPX routing for data roaming,2023-01-05,"Update inter-PMN IP backbone address ranges: remove
213.144.191.216/29, add 213.144.191.56/29, add
213.144.191.224/29, add 213.144.191.216/30, add
213.144.191.220/30"
HKGTC,21,Contact Information,2023-01-05,update contacts
HKGM3,17,GRX/IPX routing for data roaming,2023-01-05,"Update inter-PMN IP backbone address ranges: remove
213.144.191.216/29, add 213.144.191.56/29, add
213.144.191.224/29, add 213.144.191.216/30, add
213.144.191.220/30"
HKGM3,21,Contact Information,2023-01-05,update contacts
HKGTC,20,LTE Roaming Information,2022-09-14,LTE QoS profiles added
HKGTC,20,LTE Roaming Information,2022-09-14,LTE QoS profiles added
HKGTC,26,VoLTE Roaming Information Section,2022-09-14,S8HR roaming constraints updated
HKGTC,13,Network Elements Information,2022-09-13,New SMSC 85290240591
HKGTC,20,LTE Roaming Information,2022-09-13,LTE QoS profiles added
HKGTC,26,VoLTE Roaming Information Section,2022-09-13,Add VoLTE Roaming information Section
HKGTC,4,Routing Information,2022-07-05,"Add new MSISDN Ranges 852441, 852578"
HKGTC,4,Routing Information,2022-05-26,"Add new MSISDN Ranges 8524445-8524449, 8529590-8529594,
8524678, 8529291"
HKGTC,13,Network Elements Information,2022-05-26,remove SMSC 85290210724
HKGTC,21,Contact Information,2022-05-26,update contacts
HKGM3,21,Contact Information,2022-05-26,update contact
HKGTC,4,Routing Information,2021-10-04,Remove MSISDN Range(s) 852 5140; 852 5142; 852 5144
HKGTC,13,Network Elements Information,2021-10-04,Add SMSC 85290240515; Add SCP 85290240600
HKGTC,17,GRX/IPX routing for data roaming,2021-10-04,Add inter-PMN IP backbone address range 213.144.191.216/29
HKGM3,13,Network Elements Information,2021-10-04,Add SMSC 85290240515; Add SCP 85290240600
