Vendor Information,Column_2
BSS vendor(s) and SW/HW version:,"Huawei BSC6900 V900R012ENGC01SPH516 &
Ericsson G10B"
HLR vendor(s) and SW/HW version:,Ericsson R13.2
"MSC/VLR vendor(s) and SW/HW
version:","Ericsson R14.1, R13.2"
"SMSC vendor(s) and SW/HW
version:","Huawei SMSC SMS V300R002.2Db91SP01
(Sigtran-based)/ATAE"
"SGSN vendor(s) and SW/HW
version:",2010B CP03 H/W Ver mkvi
"GGSN vendor(s) and SW/HW
version:",2010B CP08 H/W Ver m120
"MMSC vendor(s) and SW/HW
version:","Huawei MMSC V100R002MMSC
R002C31L00001/ATAE"
IN vendor(s) and SW/HW version:,Ericsson CS5
