E. 164 Number Ranges due to Number Portability,CC,NDC,SN Range Start,SN Range Stop
,1,782,0000,
,1,807,0000,
,1,819,0000,
,1,825,0000,
,1,867,0000,
,1,873,0000,
,1,902,0000,
,1,905,0000,
