Current version in,Column_2,Column_3
Inbound roaming,,Outbound roaming
MSC/VLR,SGSN,Outbound roaming
MAPv2,N/A,MAPv2
MAPv3,N/A,MAPv1
MAPv2,MAPv3,MAPv3
MAPv3,MAPv3,MAPv3
MAPv2,N/A,MAPv1
-,-,-
MAPv3,-,MAPv2
MAPv1,-,MAPv1
MAPv3,N/A,-
MAPv3,-,MAPv3
N/A,MAPv3,MAPv3
MAPv3,MAPv3,MAPv1
MAPv2,-,MAPv3
MAPv3,-,MAPv1
MAPv2,N/A,MAPv2
MAPv3,N/A,MAPv3
MAPv3,N/A,-
-,N/A,-
-,N/A,-
N/A,N/A,-
-,N/A,-
-,-,MAPv3
-,N/A,MAPv2
N/A,-,-
N/A,-,-
N/A,-,-
-,-,-
