List of PMN authoritative DNS server IP addresses and names,Column_2,Column_3,Column_4,Column_5
IP address,IPv6 address,DNS Name,Priority,Network owner
,,MQNDNS1.mnc097.mcc466.gprs,,
,,MQNDNS2.mnc097.mcc466.gprs,,
,,CHODNS1.mnc097.mcc466.gprs,,
,,CHODNS2.mnc097.mcc466.gprs,,
