Date,Description
2022-04-27,"Add QCI=8,9"
2021-09-10,Add new TADIG JPNKS (440-54)
2019-12-06,Add EPC Realm for 440-51
2019-05-13,remove blank space
2019-05-13,update IPX provider
2019-05-10,mention MCC/MNC
2015-04-24,ADD FQDN
2014-02-04,Addition of a S6a hostname (epc.mnc051.mcc440.3gppnetwork.org)
2013-12-03,Change LTE QoS profile list
2013-10-18,No meaningful changes from the previous IR21.
2013-09-25,Add Section 20 (LTE Information)
