TADIG Code,Section ID,Section Name
ARGVO,6,Domestic SCCP Gateway
ARGVO,7,SCCP Protocol available at PMN for connection for International SS7 Roaming
ARGVO,18,MMS Interworking Information
ARGVO,19,WLAN Information
ARGVO,22,Hosted Networks
ARGVO,26,VoLTE Roaming Information Section
ARGVO,27,LPWA Roaming Information Section
