Optimal Routing of mobile-to-mobile calls,Column_2,Column_3,Column_4,Column_5
Application Context Name,Current Version,,,Comments
,(V)MSC,GMSC,HLR,
CallControlTransfer,,,N/A,
LocationInfoRetrieval10,N/A,,,
Inter-Operator SMS Enhancement,,,,
Application Context Name,Current Version,,,Comments
,"SMS-
IWMSC","SMS-
GMSC",HLR,
shortMsgGateway,N/A,N/A,,
shortMsgAlert,,,,
SMSC vendor(s) and SW/HW vers.,,Tango,,
SGSN vendor(s) and SW/HW vers.,,Ericsson SGSN 2010A MkVI,,
GGSN vendor(s) and SW/HW vers.,,Ericsson GGSN M120,,
MMSC vendor(s) and SW/HW vers.,,Comviva,,
IN vendor(s) and SW/HW version:,,Ericsson,,
