MSRN Structure (MNC 11),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7
State,CC,NDC,Prefix,Complement,,
RJ,"55
55
55
55
55
55
55
55
55
55
55
55
55
55
55
55
55
55
55
55
55
55
55
55
55
55
55
55
55","21
21
21
21
21
21
21
21
21
21
22
22
22
22
22
22
22
22
22
22
22
22
22
24
24
24
24
24
24","9940
9940
9940
9940
9940
9950
9960
9960
9960
9960
9950
9950
9950
9950
9960
9960
9960
9960
9960
9970
9970
9970
9970
9950
9950
9950
9950
9950
9960","0XXX
1XXX
3XXX
4XXX
7XXX
2XXX
3XXX
4XXX
8XXX
9XXX
3XXX
5XXX
6XXX
7XXX
0XXX
2XXX
4XXX
8XXX
9XXX
0XXX
1XXX
2XXX
3XXX
1XXX
3XXX
4XXX
5XXX
7XXX
8XXX",,"X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9"
ES,"55
55
55","27
27
27","9990
9990
9990","0XXX
1YXX
3YXX","Y=0...8
Y=0...6","X=0...9
X=0...9
X=0...9"
