ROUTING INFORMATION,Column_2,Column_3
"CCITT E.164
Number series:","Country Code
(CC)","National Destination Code
(NDC)"
"MSISDN Number
range(s):",55,"4191, 4192, 4291, 4391, 4491, 4591, 4691, 4791, 4792, 4891,
4991, 5196, 5197, 5198, 5199, 5399, 5496, 5499, 5596, 5599,
6196, 6198, 6199, 6296, 6298, 6299, 6399, 6496, 6499, 6596,
6599, 6696, 6699, 6796, 6799, 6899, 6999.
(see details in Miscellaneous information)"
"Network nodes
Global Title number
range(s):",55,"006
(see details in Miscellaneous information)"
"MSRN number
range(s):",55,"4191, 4291, 4391, 4491, 4591, 4691, 4791, 4891, 4991, 5197,
5399, 5496, 5596, 6199, 6299, 6399, 6499, 6599, 6699, 6799,
6899, 6999.
(see details in Miscellaneous information)"
"E.212 Number
series:","Mobile Country
Code
(MCC)","Mobile Network Code
(MNC)"
,724,06
"E.214 Mobile Global
Title: (MGT)","Country Code of
MGT
(CC)","Network Code of MGT
(NC)"
,55,006
"Does Number
Portability apply?",YES ˜ NO (cid:127),
