MSRN Structure (MNC 10),Column_2,Column_3,Column_4,Column_5,Column_6,Column_7
State,CC,NDC,Prefix,Complement,,
SP,"55
55
55
55
55
55","11
11
11
11
11
11","97470
97470
97470
97470
97470
97470","0YXX
1YXX
2YXX
3YXX
4YXX
5YXX","Y=0...7
Y=5...6
Y=0...7
Y=5...6
Y=0...7
Y=5...6","X=0...9
X=0...9
X=0...9
X=0...9
X=0...9
X=0...9"
