"GT (E. 164)
Address(es)","IP Addresses / IP
Address Ranges",Column_3,Column_4,Column_5,Column_6
,,CC,NDC,"SN Range
Start",SN Range End
"88017
02000116
- 02000130",,880,17,00000000,09999999
"GT (E. 164)
Address(es)","IP Addresses / IP
Address Ranges",,,,
"88017
02000160
- 02000161",,,,,
"GT (E. 164)
Address(es)","IP Addresses / IP
Address Ranges",,,,
"88017
00000411
- 00000411",,,,,
