TADIG Code,Section ID,Section,Date,Description
AZEAC,16,Packet Data Service Information,2014-01-23,New RAEX
AZEAC,8,Subscriber Identity Authentication,2012-07-23,New RAEX
AZEAC,10,MAP,2012-07-23,New RAEX
AZEAC,14,USSD Information,2012-07-23,New RAEX
AZEAC,15,CAMEL Information,2012-07-23,New RAEX
AZEAC,17,GRX/IPX Routing for Data Roaming,2012-07-23,New RAEX
