Date,Description
2020-02-27,New NDC range added - 994 60 6000000 - 7999999
2019-03-18,Added new MSISDN range for AZENT
2018-10-16,Global title number ranges updated
2018-10-09,Update MS#SDN number range for AZENT ( New number range 7000000-7200000 )
2018-04-23,Added new MSISDN range 4000000-4999999
2018-01-05,MSISDN number ranges updated for AZENT
2016-11-01,Added new TADIG CODE AZENT
